,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000051951,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000102269,1,0,2,0,1,1,1,0,2,0
ENSMUSG00000098104,1,1,0,0,3,2,3,0,1,3
ENSMUSG00000102175,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000103922,5,5,4,6,7,4,4,5,2,5
ENSMUSG00000033845,1487,1175,1038,1738,2106,1736,2411,1389,1143,1766
ENSMUSG00000102275,3,18,6,4,13,9,19,6,24,2
ENSMUSG00000025903,1369,1060,1133,1703,1208,1384,1509,1090,1341,1311
ENSMUSG00000033813,1574,664,862,1364,1381,1629,1315,832,646,1205
ENSMUSG00000062588,0,0,1,0,2,0,4,0,0,1
ENSMUSG00000103280,0,2,0,1,1,0,0,4,1,0
ENSMUSG00000002459,0,20,1,7,1,0,6,7,7,0
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000033793,3375,3654,3331,3844,5020,3351,6653,4297,3229,3990
ENSMUSG00000025905,29,6,0,3,8,0,0,13,35,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,1688,1111,1163,1347,1400,1674,2525,1301,1213,1351
ENSMUSG00000090031,22,19,22,12,22,19,33,14,6,29
ENSMUSG00000087247,0,0,3,0,0,1,139,4,0,2
ENSMUSG00000103355,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,3,0,0,0
ENSMUSG00000103845,1,0,0,0,0,1,1,1,0,1
ENSMUSG00000033740,0,0,1,0,0,0,0,2,0,0
ENSMUSG00000102135,1,8,2,7,6,4,8,7,8,7
ENSMUSG00000051285,786,730,722,670,537,983,732,567,781,620
ENSMUSG00000103509,19,27,49,25,56,66,76,30,7,12
ENSMUSG00000048538,4,1,0,5,0,3,3,0,0,3
ENSMUSG00000097797,8,6,3,5,7,4,10,7,7,2
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,0,0,0,0,0,0,0,2,0,1
ENSMUSG00000086235,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,5,3,5,8,5,3,6,6,6,8
ENSMUSG00000103933,0,1,0,0,0,1,1,0,1,0
ENSMUSG00000076135,0,0,1,3,0,0,0,0,0,0
ENSMUSG00000066693,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000101571,1,0,0,1,0,0,0,1,0,0
ENSMUSG00000103411,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000061024,1523,573,638,762,1904,1183,1625,838,494,951
ENSMUSG00000025911,5,63,43,99,24,62,24,11,112,24
ENSMUSG00000079671,0,0,3,1,2,0,2,1,1,0
ENSMUSG00000081441,3,10,3,6,9,2,6,15,7,6
ENSMUSG00000025912,237,187,266,318,286,266,393,190,128,172
ENSMUSG00000045210,1543,967,1127,1227,1956,1572,1482,957,1073,1349
ENSMUSG00000097893,9,1,2,9,5,6,4,4,6,5
ENSMUSG00000025915,765,352,544,998,437,477,615,488,600,296
ENSMUSG00000046334,0,1,0,2,2,0,1,0,2,0
ENSMUSG00000046101,1,0,1,3,2,0,0,0,0,2
ENSMUSG00000098234,544,557,557,641,751,470,658,467,810,894
ENSMUSG00000093178,1,1,3,3,4,0,2,3,2,2
ENSMUSG00000099032,287,360,285,152,245,255,167,158,292,146
ENSMUSG00000104025,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000025916,0,2,0,2,0,0,0,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000025917,3162,2603,2460,4577,3949,3171,4638,4103,2279,3117
ENSMUSG00000056763,686,602,647,602,987,838,934,665,655,452
ENSMUSG00000067851,2559,847,1217,1638,1870,1915,1535,1142,1557,1290
ENSMUSG00000102556,1,0,0,0,2,1,2,1,0,0
ENSMUSG00000042501,7,11,2,6,8,3,41,5,57,5
ENSMUSG00000103810,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083422,0,0,0,0,0,1,0,0,1,0
ENSMUSG00000100648,0,1,0,0,0,2,1,0,0,2
ENSMUSG00000048960,36,49,38,49,30,60,5,117,20,46
ENSMUSG00000101827,0,0,0,1,0,0,0,1,0,0
ENSMUSG00000057715,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101610,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,0,2,1,3,2,0,3,1,2,4
ENSMUSG00000016918,2,21,95,479,127,20,265,69,7,45
ENSMUSG00000025938,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000005886,860,403,512,634,821,1049,924,494,550,599
ENSMUSG00000103506,2,1,3,2,0,0,2,1,2,0
ENSMUSG00000103495,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000102639,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104170,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103085,0,1,1,0,1,1,3,0,0,0
ENSMUSG00000102664,0,2,0,0,1,1,2,1,4,1
ENSMUSG00000101476,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101171,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000025935,2784,3039,2625,2263,4178,2231,2740,2885,2833,3743
ENSMUSG00000025937,1107,623,806,780,1307,860,888,794,574,676
ENSMUSG00000102982,4,2,1,5,12,8,3,7,3,2
ENSMUSG00000067813,1,0,1,1,0,0,0,0,0,1
ENSMUSG00000097711,4,2,2,7,3,6,5,6,7,2
ENSMUSG00000102166,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000025932,6,21,0,9,2,0,2,9,110,0
ENSMUSG00000102588,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081201,0,0,0,0,0,0,1,0,3,0
ENSMUSG00000082193,9,13,1,8,14,7,11,6,8,10
ENSMUSG00000032769,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000073737,4,3,2,2,9,5,5,4,4,7
