gene_name,LFC,logP
VHL,2.3733,6.592303242
LAMTOR2,1.2861,6.592303242
PDHB,-1.4506,6.592303242
Control_29,-1.6011,6.592303242
Control_2,-0.8418,6.291273247
UXS1,1.1209,6.115181988
CHCHD1,-1.2463,5.638064508
MDH2,-0.96221,5.550907469
MLST8,1.2591,5.478352051
NUBPL,-1.7042,5.416211983
WDR24,0.79664,5.194363234
TCEB2,1.5997,5.160936962
OTUD5,0.81341,5.073786214
Control_77,0.67716,5.073786214
COX17,-2.7083,5.024099682
PDE12,-1.4256,4.902118255
RRAGA,0.89679,4.868028655
ELP5,0.69153,4.868028655
RPTOR,1.2989,4.821454685
TMEM257,-0.72714,4.741051592
SERP1,-0.81804,4.705820459
KTI12,1.079,4.67321369
AAGAB,0.88456,4.66288032
GALE,1.1097,4.596673538
SERF1A,-1.0866,4.571104237
SLC25A1,-2.2523,4.430930554
CLUH,-0.99703,4.419120622
Control_4,-0.60289,4.276330928
METTL17,-1.5345,4.259866363
FBXO45,0.47946,4.143597406
CNOT11,0.90293,4.131402578
SRM,0.79987,4.091241622
FAM228B,-0.81254,4.091241622
FMR1,-0.92174,4.062101139
AZIN1,0.68132,4.051973572
PDHA1,-1.2981,3.991314681
TTC39C,-0.59952,3.989149043
PIGP,-0.74221,3.98699415
SLC35B1,1.1579,3.89945715
F8A1,1.2594,3.870503457
EGLN1,0.58006,3.85911502
PQLC2L,-0.69799,3.85911502
LACE1,-1.0504,3.841788331
Control_162,-0.49537,3.820706794
FBXL20,-0.76589,3.804847866
KLRD1,-1.2642,3.766876921
SFXN4,-1.1668,3.761702932
TCEAL5,-0.96155,3.717808544
LAMTOR4,0.97212,3.700754272
Control_16,-0.49622,3.693017717
CS,-0.85408,3.642427216
METTL1,0.56975,3.629931239
HSD17B12,1.3336,3.61686712
MPI,0.822,3.594482893
XPO4,0.47833,3.581582691
TELO2,0.83406,3.564139714
Control_46,-0.023231,3.523748204
DCAF7,0.59711,3.523009053
SMARCD1,0.72681,3.518586039
CCDC173,-1.3943,3.484748915
ZNF98,-0.90532,3.478025528
DDX28,-1.1402,3.476695855
PMFBP1,-0.63802,3.476019545
CCDC172,-0.72537,3.470082236
PMM2,-0.67405,3.466825539
MS4A5,-0.99252,3.434246603
CARKD,0.53178,3.429433712
CHML,-0.88222,3.422922011
PSAT1,0.69898,3.401132924
PIGT,-0.60827,3.354508956
NDUFS1,-1.0388,3.350509369
MTFMT,-1.1657,3.336789228
ETV5,-0.49657,3.334381491
Control_47,-0.68845,3.324891024
CCDC171,-0.85959,3.310584579
NR5A1,-0.29756,3.298501093
PIGX,-0.78163,3.294974909
TSC22D2,0.74269,3.282887283
IWS1,0.83696,3.26657802
C1QBP,-1.2305,3.230386387
PGA3,0.7088,3.197677902
