Clone,Heteroplasmy_bin,siRNA,well,Date Time,Elapsed,"A1, Image 1","A1, Image 2","A1, Image 3","A1, Image 4","A1, Image 6","A1, Image 7","A1, Image 8","A1, Image 9",Clone 62 Mock,SEM
clone_62,high_het,Mock,A1,09/08/2022 19:00,0,3.127936,3.840622,5.580132,4.31825,6.424892,6.637483,4.421438,4.962236,4.914123625,0.435868326
clone_62,high_het,Mock,A1,09/08/2022 22:00,3,4.226534,4.620847,5.978131,4.811653,6.096275,7.148437,4.723352,5.971644,5.447109125,0.352875826
clone_62,high_het,Mock,A1,10/08/2022 01:00,6,4.576732,5.406196,5.668364,5.249195,7.191937,9.038664,5.064877,6.207316,6.050410125,0.510659304
clone_62,high_het,Mock,A1,10/08/2022 04:00,9,5.212316,6.010982,7.560302,6.609689,8.939232,10.2998,6.680165,7.069493,7.297747375,0.577671561
clone_62,high_het,Mock,A1,10/08/2022 07:00,12,6.476246,6.509027,8.51453,7.44714,9.623375,12.33576,7.481219,8.314781,8.33775975,0.681450014
clone_62,high_het,Mock,A1,10/08/2022 10:00,15,6.639395,6.768876,9.821624,8.594772,11.54262,12.90735,8.534338,10.31339,9.390295625,0.777417146
clone_62,high_het,Mock,A1,10/08/2022 13:00,18,8.410934,8.672832,13.02659,10.49654,14.47894,14.76849,10.32657,13.39427,11.69689575,0.897265492
clone_62,high_het,Mock,A1,10/08/2022 16:00,21,10.55842,11.23668,16.40618,12.56439,17.62539,18.18797,12.52473,15.13269,14.27955625,1.042385902
clone_62,high_het,Mock,A1,10/08/2022 19:00,24,10.72873,12.53545,19.06578,14.83153,18.98253,22.03234,14.39761,18.34264,16.36457625,1.355087131
clone_62,high_het,Mock,A1,10/08/2022 22:00,27,13.79494,13.93643,19.19792,18.59689,24.0106,24.91846,18.2975,22.53858,19.411415,1.492417132
clone_62,high_het,Mock,A1,11/08/2022 01:00,30,15.9293,14.50769,22.85942,20.98161,27.25211,27.98944,19.86512,25.66447,21.881145,1.773288513
clone_62,high_het,Mock,A1,11/08/2022 04:00,33,20.81683,20.62384,31.33829,22.42939,34.67644,34.20624,22.7843,26.875,26.71879125,2.098515607
clone_62,high_het,Mock,A1,11/08/2022 07:00,36,24.38312,24.27099,34.71249,29.95698,42.80458,39.56751,27.67496,36.01057,32.42265,2.451871459
clone_62,high_het,Mock,A1,11/08/2022 10:00,39,27.91753,26.90532,40.54776,33.2023,49.63594,42.43553,32.0654,42.92859,36.95479625,2.866359773
clone_62,high_het,Mock,A1,11/08/2022 13:00,42,32.33392,33.03437,46.61761,39.297,54.53091,53.2413,40.17415,48.88596,43.5144025,3.04207853
clone_62,high_het,Mock,A1,11/08/2022 16:00,45,38.86889,39.11877,56.53374,42.04326,65.00771,58.3341,42.34211,57.44777,49.96204375,3.676886931
clone_62,high_het,Mock,A1,11/08/2022 19:00,48,46.5552,45.03907,61.36705,53.58651,69.45463,68.54198,50.34897,68.31355,57.90087,3.627661396
clone_62,high_het,Mock,A1,11/08/2022 22:00,51,54.43749,55.5602,69.87032,59.34262,76.77386,71.64799,58.20189,75.41848,65.15660625,3.256270813
clone_62,high_het,Mock,A1,12/08/2022 01:00,54,61.87445,60.70933,81.14777,68.70349,85.11568,83.65944,68.76488,82.62968,74.07559,3.589443293
clone_62,high_het,Mock,A1,12/08/2022 04:00,57,70.92794,66.70734,87.79639,74.17648,89.33881,87.97667,74.23009,92.38766,80.4426725,3.50945944
clone_62,high_het,Mock,A1,12/08/2022 07:00,60,74.47784,74.67323,93.59394,84.22012,94.57502,93.71168,84.21103,97.38206,87.105615,3.2123239
clone_62,high_het,Mock,A1,12/08/2022 10:00,63,83.62673,85.89113,96.79059,92.12132,97.6792,95.88936,91.07975,98.55927,92.70466875,1.971553352
clone_62,high_het,Mock,A1,12/08/2022 13:00,66,87.89833,87.14891,97.99197,93.62919,98.60638,98.48625,94.15694,99.49519,94.676645,1.732799484
clone_62,high_het,NT,B1,09/08/2022 19:00,0,4.286973,5.63695,7.283997,3.887605,4.143014,4.572089,4.762346,6.055233,5.078525875,0.409842656
clone_62,high_het,NT,B1,09/08/2022 22:00,3,4.762484,6.41144,8.074121,4.161316,4.832482,4.690027,6.06698,7.652219,5.831383625,0.517021952
clone_62,high_het,NT,B1,10/08/2022 01:00,6,5.167107,7.073864,9.452851,5.043159,6.006541,5.508564,6.288789,8.483871,6.62809325,0.56731159
clone_62,high_het,NT,B1,10/08/2022 04:00,9,6.218313,8.112161,10.05545,5.011541,7.074543,5.755095,6.644996,9.128196,7.250036875,0.610154024
clone_62,high_het,NT,B1,10/08/2022 07:00,12,7.178279,9.235479,13.06996,6.859907,8.74754,6.443536,8.004125,11.47898,8.87722575,0.825210527
clone_62,high_het,NT,B1,10/08/2022 10:00,15,8.813989,10.82304,16.40386,8.337656,10.46957,9.894694,10.54319,14.02132,11.16341488,0.961083924
