"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Wdfy1",0,0.777347560126239,0.602,0.117,0,"Wdfy1"
"Tpr",0,0.808857551229136,1,0.995,0,"Tpr"
"Dhx9",0,0.975843132451465,0.998,0.929,0,"Dhx9"
"Prrc2c",0,0.764747129224711,1,0.996,0,"Prrc2c"
"Rps20",0,0.270003312781773,1,1,0,"Rps20"
"Vcp",0,-0.654287119101608,0.998,1,0,"Vcp"
"Prdx1",0,-0.519605093431752,1,1,0,"Prdx1"
"Zmym4",0,0.928673151486365,0.939,0.616,0,"Zmym4"
"Marcksl1",0,-0.694921431196717,0.997,1,0,"Marcksl1"
"Eno1",0,-0.592442029173216,1,1,0,"Eno1"
"Gnb1",0,-0.680291343486284,0.999,1,0,"Gnb1"
"Hnrnpf",0,-0.473335106329265,1,1,0,"Hnrnpf"
"Gapdh",0,-0.496997453468201,1,1,0,"Gapdh"
"Rpl28",0,0.290113928454989,1,1,0,"Rpl28"
"Trim28",0,-0.722064854722374,0.999,1,0,"Trim28"
"Hnrnpl",0,-0.972014748668191,0.988,1,0,"Hnrnpl"
"Rps13",0,0.295109412261437,1,1,0,"Rps13"
"Rps15a",0,0.261228820406735,1,1,0,"Rps15a"
"Ppp4c",0,-0.931191451102549,0.947,0.997,0,"Ppp4c"
"Ptbp1",0,-0.724873025748656,0.982,0.996,0,"Ptbp1"
"Eef2",0,-0.795058066812285,1,1,0,"Eef2"
"Ptges3",0,-0.476390171346872,1,1,0,"Ptges3"
"Elavl1",0,-0.770630125054478,0.985,1,0,"Elavl1"
"Uba52",0,-1.00157371504759,0.919,0.999,0,"Uba52"
"Tpt1",0,0.369972390293364,1,1,0,"Tpt1"
"Gm10076",0,-0.975363792187443,1,1,0,"Gm10076"
"U2surp",0,0.681588284273703,0.998,0.978,0,"U2surp"
"Ewsr1",0,-0.834864942341616,0.995,1,0,"Ewsr1"
"Ubb",0,-0.521548042816083,1,1,0,"Ubb"
"Pfn1",0,-0.406828857264814,1,1,0,"Pfn1"
"Rpl23",0,0.25887812642164,1,1,0,"Rpl23"
"Srsf2",0,-0.535821895584579,1,1,0,"Srsf2"
"Alyref",0,-0.824500328976435,1,1,0,"Alyref"
"H1f4",0,1.92375826717309,0.847,0.544,0,"H1f4"
"Rps23",0,0.339309139528248,1,1,0,"Rps23"
"Hmga1",0,-0.966686391279928,0.871,0.992,0,"Hmga1"
"Rps18",0,0.326872979353101,1,1,0,"Rps18"
"CT010467.1",0,2.3521942517181,1,0.972,0,"CT010467.1"
"mt-Rnr1",0,1.75507293096727,0.999,0.99,0,"mt-Rnr1"
"mt-Rnr2",0,1.77699014815686,1,1,0,"mt-Rnr2"
"mt-Atp8",0,0.961989292550904,0.835,0.398,0,"mt-Atp8"
"Atp5b",5.37028467538449e-307,-0.52995825081865,1,1,1.37382622565686e-302,"Atp5b"
"Hspa8",5.59939244909235e-305,-0.564058634597035,1,1,1.4324365763268e-300,"Hspa8"
"Zfp106",1.30337108043463e-300,0.764671571744699,0.991,0.91,3.33428389796788e-296,"Zfp106"
"Actg1",4.62417332269982e-298,-0.566544769327235,1,1,1.18295601941307e-293,"Actg1"
"H1f1",5.28884889789288e-295,1.2487078984333,0.668,0.251,1.35299332505896e-290,"H1f1"
"Actb",1.10206055127868e-286,-0.700556308004097,1,1,2.81929130228112e-282,"Actb"
"H4c4",4.54862854849271e-283,1.06957925783895,0.69,0.274,1.1636301552754e-278,"H4c4"
"Scaf11",2.90532456921927e-281,0.726500424275618,0.998,0.95,7.43240131297674e-277,"Scaf11"
"Chchd2",1.23663556291339e-279,0.29634389726555,1,1,3.16356109704502e-275,"Chchd2"
"Tubb5",1.14003896869706e-278,-0.331242615838979,1,1,2.91644768972081e-274,"Tubb5"
"Gm6477",4.27332160215308e-278,0.779869801619066,0.981,0.902,1.0932011322628e-273,"Gm6477"
"Ube2d3",2.63449760402197e-270,-0.469847499978209,1,1,6.73957177060901e-266,"Ube2d3"
"Ddx39b",3.8398141276215e-260,-0.426456925232804,1,1,9.82301250128133e-256,"Ddx39b"
"H1f5",1.57284170198623e-254,2.31513008785793,0.793,0.562,4.02364364202118e-250,"H1f5"
"Cfl1",1.11272621362409e-253,-0.317621241388018,1,1,2.84657619969313e-249,"Cfl1"
"Bzw1",4.51326959230371e-251,0.506008846533111,1,0.999,1.15458462710313e-246,"Bzw1"
"Rack1",7.37783607813815e-250,0.266891328982065,1,1,1.8873980255093e-245,"Rack1"
"Ssb",3.16906229015165e-248,0.388112325563985,1,1,8.10709515066596e-244,"Ssb"
"H3c3",2.07830588554531e-247,0.99654794389821,0.708,0.314,5.31672211640201e-243,"H3c3"
"Maz",3.33713639509376e-246,-0.641927639887863,0.967,0.996,8.53706232592886e-242,"Maz"
"Gmps",1.78792643869319e-243,0.577356470735888,1,0.99,4.57387341546492e-239,"Gmps"
"Eif5",9.80221569682384e-242,0.4375619032592,1,1,2.50760281956148e-237,"Eif5"
"H2ac20",1.70394130118101e-238,0.792200087902731,0.512,0.14,4.35902263668126e-234,"H2ac20"
"Ube2d2a",2.28407283089161e-237,-0.521770653978366,0.998,1,5.84311511598693e-233,"Ube2d2a"
"Rps10",1.65466765517375e-236,0.369316617887318,1,1,4.23297079546549e-232,"Rps10"
"Topbp1",1.13360572799515e-235,0.716448948979269,0.975,0.819,2.89999017335719e-231,"Topbp1"
"Cbx3",1.16056365337944e-235,-0.738666747848121,0.999,1,2.96895393807529e-231,"Cbx3"
"Pkm",1.85925897656156e-234,-0.419214256483097,1,1,4.75635631383979e-230,"Pkm"
"Hnrnpab",4.0595121335919e-232,0.412108561784756,1,1,1.03850439401548e-227,"Hnrnpab"
"AC160336.1",1.19517802349114e-230,-2.22484123719123,0.107,0.54,3.05750441969503e-226,"AC160336.1"
"H1f3",1.17107209694057e-229,0.828387247595196,0.583,0.2,2.99583663839337e-225,"H1f3"
"Tkt",4.77462494373081e-228,-0.516720589894641,0.994,1,1.22144455310521e-223,"Tkt"
"Tcf3",5.81438161605243e-228,-0.617609843466884,0.967,0.995,1.48743510501853e-223,"Tcf3"
"Wdr77",1.21024950615163e-226,-0.657132141784908,0.919,0.991,3.0960602866371e-222,"Wdr77"
"Pcbp1",2.38132883004711e-224,-0.417759587238885,1,1,6.09191541302652e-220,"Pcbp1"
"Tfdp1",3.3533632871962e-223,-0.633696799430228,0.966,0.995,8.57857396130532e-219,"Tfdp1"
"Srrm1",1.41097280360463e-222,0.490633771630051,0.999,0.997,3.60955062618136e-218,"Srrm1"
"Hspa4",2.83847492278948e-222,0.535505694140891,1,0.997,7.26138654748005e-218,"Hspa4"
"Nedd4",5.30154671486752e-220,0.477774005869484,1,1,1.35624168059741e-215,"Nedd4"
"Ncl",5.54725279736974e-220,0.472370884153321,1,1,1.41909821062313e-215,"Ncl"
"Dcakd",1.84887736874921e-219,-0.615059553583638,0.947,0.994,4.72979808473423e-215,"Dcakd"
"Hnrnpa1",3.43768474767667e-218,-0.32124917726085,1,1,8.79428512150646e-214,"Hnrnpa1"
"Nasp",2.24080413277532e-212,0.449687370474061,1,1,5.73242513246583e-208,"Nasp"
"Dazap1",3.56690040781626e-210,-0.523195508694648,0.989,0.999,9.12484462327556e-206,"Dazap1"
"Snrpe",4.47666527689316e-210,0.265782734090664,1,1,1.14522051113481e-205,"Snrpe"
"Fkbp1a",6.73994339348462e-210,-0.441038489972892,1,1,1.72421231892124e-205,"Fkbp1a"
"Rbbp4",7.6448556045137e-210,-0.407835262534141,1,1,1.95570696074669e-205,"Rbbp4"
"Tnks2",3.84897921655401e-206,0.682051882968263,0.954,0.799,9.84645863178846e-202,"Tnks2"
"Mcm2",8.18420709099401e-206,-0.697914502920137,0.818,0.961,2.09368385801809e-201,"Mcm2"
"Sec61g",2.12795966276834e-205,-0.647742824401911,0.827,0.965,5.44374640929396e-201,"Sec61g"
"H1f2",4.713991916557e-205,0.751196462530711,0.555,0.197,1.20593341209361e-200,"H1f2"
