"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Rpl7",0,-0.282262888151241,1,1,0,"Rpl7"
"Gm28438",0,1.2703413760897,0.675,0.277,0,"Gm28438"
"Eif5b",0,0.68724489347846,0.998,0.996,0,"Eif5b"
"Rpl37a",0,0.645112446541477,1,1,0,"Rpl37a"
"Dhx9",0,1.07424568812789,0.987,0.929,0,"Dhx9"
"Prrc2c",0,0.667459874734747,0.999,0.996,0,"Prrc2c"
"Rpl7a",0,-0.402588621592856,1,1,0,"Rpl7a"
"Swi5",0,-0.436278344533235,1,1,0,"Swi5"
"Rpl35",0,0.546431897007428,1,1,0,"Rpl35"
"Caprin1",0,0.600784622122208,0.999,0.993,0,"Caprin1"
"Zfp106",0,0.776149803248418,0.97,0.91,0,"Zfp106"
"Eif3j1",0,0.909626975491189,0.998,0.99,0,"Eif3j1"
"Raly",0,-0.374569756139009,1,1,0,"Raly"
"Rps21",0,0.93382837240206,1,1,0,"Rps21"
"Rpl39",0,0.766783495913643,1,1,0,"Rpl39"
"Xist",0,1.21207870193174,0.857,0.564,0,"Xist"
"Huwe1",0,0.684370923852226,0.98,0.916,0,"Huwe1"
"Rps27",0,0.922358743176434,1,1,0,"Rps27"
"Rpl34",0,0.314820892347932,1,1,0,"Rpl34"
"Marcksl1",0,-0.35158634425528,1,1,0,"Marcksl1"
"Tomm7",0,0.521781738422301,1,1,0,"Tomm7"
"Mrfap1",0,-0.338012062080628,1,1,0,"Mrfap1"
"Dhx15",0,0.700855204834376,0.991,0.971,0,"Dhx15"
"Mdh2",0,-0.409701849324366,1,1,0,"Mdh2"
"Fscn1",0,-0.482256456281322,0.997,1,0,"Fscn1"
"Serbp1",0,0.458549071268535,1,1,0,"Serbp1"
"Snrpg",0,0.656292698513508,1,1,0,"Snrpg"
"Chd4",0,0.73507136575808,0.996,0.979,0,"Chd4"
"Gapdh",0,-0.608581113980883,1,1,0,"Gapdh"
"Ftl1",0,-0.51414314126878,1,1,0,"Ftl1"
"Eif3f",0,-0.390477321667465,1,1,0,"Eif3f"
"Rpl27a",0,0.435711698482987,1,1,0,"Rpl27a"
"Ppp4c",0,-0.526250768041989,0.984,0.997,0,"Ppp4c"
"Ptbp1",0,-0.490845136706899,0.992,0.996,0,"Ptbp1"
"Oaz1",0,-0.301228236478762,1,1,0,"Oaz1"
"Cdk4",0,-0.400702957372561,1,1,0,"Cdk4"
"Smarca5",0,0.728722921624964,1,0.994,0,"Smarca5"
"Nt5dc2",0,-0.399555111054053,1,1,0,"Nt5dc2"
"Ktn1",0,0.821858646549984,0.995,0.966,0,"Ktn1"
"Taf1d",0,0.71049253180196,0.996,0.978,0,"Taf1d"
"Pkm",0,-0.518126241194531,1,1,0,"Pkm"
"Rpl4",0,-0.28159035435774,1,1,0,"Rpl4"
"Nedd4",0,0.662439474086178,1,1,0,"Nedd4"
"Eef1a1",0,-0.257880970233452,1,1,0,"Eef1a1"
"Stag1",0,0.763685426454432,0.893,0.733,0,"Stag1"
"Rpl29",0,-0.305481864268829,1,1,0,"Rpl29"
"Impdh2",0,-0.491673635152264,0.995,1,0,"Impdh2"
"Sec61g",0,1.06903667099391,0.981,0.965,0,"Sec61g"
"Hnrnpab",0,0.386949356348446,1,1,0,"Hnrnpab"
"Arf1",0,-0.394863409260055,1,1,0,"Arf1"
"Eif4a1",0,-0.423360295394124,1,1,0,"Eif4a1"
"Eif5a",0,-0.327159407575128,1,1,0,"Eif5a"
"Rpl38",0,1.02380501689765,1,1,0,"Rpl38"
"Actg1",0,-0.51319179969114,1,1,0,"Actg1"
"Prpf4b",0,0.959579656871613,0.987,0.962,0,"Prpf4b"
"Prelid1",0,-0.391062455680339,1,1,0,"Prelid1"
"Cox7c",0,0.44065097334182,1,1,0,"Cox7c"
"Rpl37",0,0.78321858014893,1,1,0,"Rpl37"
"Ywhaz",0,0.562066370588993,1,1,0,"Ywhaz"
"Eif3l",0,-0.534306246292414,0.994,1,0,"Eif3l"
"Scaf11",0,0.675995319485031,0.987,0.95,0,"Scaf11"
"Tuba1b",0,-0.425949280258814,1,1,0,"Tuba1b"
"Smarcd1",0,0.889104743988063,0.962,0.881,0,"Smarcd1"
"Rpl35a",0,0.292073711920358,1,1,0,"Rpl35a"
"Son",0,0.682943559760842,0.997,0.989,0,"Son"
"Srrm2",0,0.464746700351292,1,1,0,"Srrm2"
"Rps2",0,-0.262112555937613,1,1,0,"Rps2"
"Ddx39b",0,-0.341756778980683,1,1,0,"Ddx39b"
"CT010467.1",0,1.43253827610488,1,0.972,0,"CT010467.1"
"Rpl36",0,0.42681287035553,1,1,0,"Rpl36"
"Cfl1",0,-0.300463917366639,1,1,0,"Cfl1"
"Tnks2",0,0.756657847978264,0.921,0.799,0,"Tnks2"
"mt-Rnr1",0,0.673914185139081,1,0.99,0,"mt-Rnr1"
"mt-Co1",0,0.762661267886653,0.999,0.992,0,"mt-Co1"
"Rps8",5.51008742844266e-306,0.327301828074673,1,1,1.4095905659442e-301,"Rps8"
"Celf1",7.90890163427491e-306,0.534824034110843,0.985,0.946,2.02325521608021e-301,"Celf1"
