"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl37a",0,0.592175895053613,1,1,0
"Rpl35",0,0.672836541131435,1,1,0
"Myef2",0,1.00293683524904,0.994,0.934,0
"Rpl39",0,0.926725244599753,1,1,0
"Rps27",0,1.02037496999402,1,1,0
"Rps20",0,-0.294233731197319,1,1,0
"Rpl5",0,-0.45935596522042,1,1,0
"Chchd2",0,-0.42410865099043,1,1,0
"Snrpg",0,0.789872541081057,1,1,0
"Rps5",0,-0.284642756577152,1,1,0
"Rps16",0,-0.275455069492991,1,1,0
"Rps3",0,-0.376855896703147,1,1,0
"Rpl27a",0,0.669828721025245,1,1,0
"Rps13",0,-0.424608558732174,1,1,0
"Hmgb2",0,0.495476254167988,1,1,0
"Uba52",0,2.34231771423047,0.997,0.919,0
"Tpt1",0,-0.439840264117702,1,1,0
"Gm10076",0,2.14125057578916,1,1,0
"Cox5a",0,-0.484870326296129,1,1,0
"Morf4l1",0,0.684681879965687,1,1,0
"Gm39459",0,-0.987724419544885,0.008,0.335,0
"Sec61g",0,1.71677949539582,0.981,0.827,0
"Rack1",0,-0.43130086415002,1,1,0
"Rpl38",0,1.34016752470798,1,1,0
"Alyref",0,0.545509126075209,1,1,0
"Hist1h2ap",0,2.66430286174805,0.955,0.745,0
"Rps23",0,-0.310894170214534,1,1,0
"Rpl37",0,0.820755757121,1,1,0
"Rpl8",0,-0.286855119837092,1,1,0
"Pcbp2",0,0.569228837498332,1,1,0
"Rps2",0,-0.450135657229829,1,1,0
"Hmga1",0,1.08770754307503,0.985,0.871,0
"CT010467.1",0,-0.919655975613223,1,1,0
"Rpl36",0,0.478131613941387,1,1,0
"Rpl17",0,-0.446603749566175,1,1,0
"mt-Rnr1",0,-1.08115874582819,1,0.999,0
"mt-Rnr2",0,-1.38020923384492,1,1,0
"Serf2",2.04766215288025e-306,0.614305109112402,1,0.999,5.23832931949825e-302
"Rps18",6.61267829237732e-306,-0.345609468439127,1,1,1.69165536075597e-301
"Atp5k",2.00756131568075e-304,0.95363477196752,1,0.998,5.13574335777449e-300
"Rpl29",2.03967236431218e-301,-0.308838086536429,1,1,5.21788984238343e-297
"Rpl27",1.71683354146477e-280,0.476738923588445,1,1,4.39200356577518e-276
"Set",8.70125641091866e-280,0.467269852606386,1,1,2.22595541504121e-275
"Rpl10",1.24922853268149e-279,-0.274256757061776,1,1,3.19577643230579e-275
"Gnb1",1.89731630120852e-277,0.607064992413831,1,0.999,4.85371456175163e-273
"Eif1",2.26639129355187e-272,-0.348478451152991,1,1,5.7978822071644e-268
"Oaz1",7.82930300062696e-271,-0.345280189828934,1,1,2.00289229362039e-266
"Rpl28",7.7220447122286e-267,-0.264961339205679,1,1,1.97545347828232e-262
"Cbx3",9.59080854538597e-266,0.83617157145585,1,0.999,2.45352064208064e-261
"Eef1g",2.15721275820513e-264,-0.361274250492911,1,1,5.51858167804036e-260
"Tomm7",4.65834431892395e-263,0.581206771371389,1,1,1.19169764366712e-258
"Fos",3.97600871939105e-253,1.64267530349835,0.847,0.47,1.01714255059462e-248
"Rpl24",1.54599154236721e-251,-0.442164104122572,1,1,3.95495556368381e-247
"Btf3",2.37223058183242e-248,-0.320010449665594,1,1,6.0686402744437e-244
"Atp5j",3.06523112591862e-248,-0.41858947992846,1,1,7.84147426632501e-244
"Ptges3",3.01899815705047e-242,0.398064265298895,1,1,7.72320108536651e-238
"Usp50",7.34302367355582e-242,1.33491408466339,0.827,0.56,1.87849231616905e-237
"St13",1.20109890580762e-237,0.590842349580469,1,1,3.07265122083707e-233
"Rpl18a",1.33614718635707e-237,-0.279484187597256,1,1,3.41813173213867e-233
