"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"2310061I04Rik",1.27964905694932e-06,-0.250164475150548,0.321,0.451,0.0327359821748776,"pharyngeal mesoderm","2310061I04Rik"
"Aadat",2.79394833687352e-15,0.368701649987746,0.274,0.09,7.14747863538985e-11,"foregut","Aadat"
"Abcb10",1.82601257019895e-11,0.396364914912369,0.35,0.13,4.67130535708296e-07,"amnion","Abcb10"
"Abcb10.1",3.18668615149261e-12,0.289431067151917,0.266,0.127,8.15218051274841e-08,"cardiac","Abcb10"
"Abhd11.2",5.07009023415377e-07,-0.345012387718653,0.338,0.547,0.0129703048370122,"endothelial","Abhd11"
"Acaa1a.1",5.31125439624688e-07,0.288186232817304,0.822,0.661,0.0135872509964788,"foregut","Acaa1a"
"Acaa2",6.77944494628933e-19,0.61954005851395,0.79,0.386,1.73431760615974e-14,"amnion","Acaa2"
"Acaa2.1",2.55720688490121e-11,-0.323397254110291,0.272,0.407,6.54184665295428e-07,"mesoderm progenitors","Acaa2"
"Acaa2.2",1.03865554215036e-07,-0.273530268635119,0.281,0.404,0.00265708860792904,"neural tube","Acaa2"
"Acaa2.3",1.59534847720209e-09,-0.395128004720144,0.218,0.402,4.08122047437839e-05,"neural crest","Acaa2"
"Acaa2.4",1.03025139264423e-14,-0.369287055817984,0.228,0.409,2.63558911266246e-10,"forebrain","Acaa2"
"Acaa2.5",1.56562536554014e-39,0.715433077828107,0.698,0.376,4.00518281012479e-35,"cardiac","Acaa2"
"Acadl",5.69058849818025e-17,0.410160483818134,0.541,0.387,1.45576634960447e-12,"mesoderm progenitors","Acadl"
"Acadl.1",5.14244743409494e-10,-0.379809648017047,0.209,0.411,1.31554090259017e-05,"neural crest","Acadl"
"Acadl.2",1.96732654295206e-18,-0.365049801677253,0.229,0.422,5.03281476217997e-14,"mid hindbrain","Acadl"
"Acadl.3",8.83649668493351e-11,0.256645362500453,0.578,0.391,2.26055258193969e-06,"presomitic mesoderm","Acadl"
"Acadl.4",7.77005185577769e-09,-0.26619729545104,0.275,0.413,0.000198773466574505,"forebrain","Acadl"
"Acadl.5",4.21040204726745e-07,-0.290041622408002,0.271,0.41,0.0107710505173196,"pharyngeal mesoderm","Acadl"
"Acadl.6",5.59564532587627e-09,0.351132378334636,0.605,0.395,0.000143147798726567,"foregut","Acadl"
"Acadl.7",1.24832483013654e-07,-0.312927844472742,0.27,0.41,0.00319346458045529,"somitic mesoderm","Acadl"
"Acads",5.43308010665519e-09,0.49203419361282,0.88,0.694,0.000138989055288453,"amnion","Acads"
"Acads.1",1.50913201700142e-09,-0.260105999943527,0.598,0.709,3.86066152589304e-05,"mesoderm progenitors","Acads"
"Acads.2",6.27902720890016e-12,-0.276735801568552,0.616,0.708,1.60630074058084e-07,"mid hindbrain","Acads"
"Acads.3",7.83615303838596e-10,-0.276912144945318,0.608,0.706,2.0046446702799e-05,"forebrain","Acads"
"Acads.4",6.27882576635452e-10,0.330404509110439,0.86,0.693,1.60624920754881e-05,"foregut","Acads"
"Acads.5",1.63148253114541e-10,0.303912734296365,0.813,0.691,4.17365861117618e-06,"cardiac","Acads"
"Acat1",1.06159566234663e-07,0.355466316578784,0.51,0.279,0.00271577402341515,"amnion","Acat1"
"Acat1.1",3.15560119983947e-09,0.264456186260933,0.428,0.275,8.07265898942932e-05,"cardiac","Acat1"
"Acly",1.82157487521174e-08,-0.514706084989868,0.62,0.766,0.000465995284576667,"amnion","Acly"
"Acly.1",4.13895710967096e-12,0.284216986122191,0.843,0.754,1.05882800779602e-07,"mid hindbrain","Acly"
