"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cavin2",4.3344284739393e-261,1.31570253053399,0.54,0.013,1.10883349220315e-256,"amnion","Cavin2"
"Tinagl1",1.33701733377827e-237,1.50668999878025,0.71,0.031,3.42035774327158e-233,"amnion","Tinagl1"
"Adamts2",1.27465429058541e-231,0.726792944195355,0.51,0.013,3.2608206061756e-227,"amnion","Adamts2"
"Upk3b",7.18597363055896e-230,0.848408794123717,0.49,0.012,1.83831577416959e-225,"amnion","Upk3b"
"Tdo2",7.96264928794857e-223,3.00603297511979,0.55,0.018,2.037004940843e-218,"amnion","Tdo2"
"Postn",3.13856599351414e-217,0.982932851645287,0.35,0.005,8.02907952460786e-213,"amnion","Postn"
"Ccn4",1.55789922956691e-196,1.16721245049898,0.51,0.018,3.98541780907807e-192,"amnion","Ccn4"
"Colec11",3.2195192721357e-195,1.34858426436569,0.58,0.025,8.23617420197755e-191,"amnion","Colec11"
"Vnn1",2.02765196992639e-183,0.945972066118248,0.54,0.022,5.18713926946569e-179,"amnion","Vnn1"
"Ripor3",3.47402320291478e-173,0.754860117006843,0.47,0.017,8.88724615769658e-169,"amnion","Ripor3"
"Prss35",3.61475283268086e-154,0.742688506853305,0.4,0.014,9.24726069656417e-150,"amnion","Prss35"
"Stard8",2.31703934701765e-149,2.01319315774948,0.86,0.093,5.92745005754055e-145,"amnion","Stard8"
"Steap2",2.98087410494369e-137,0.85654315577216,0.52,0.03,7.62567213526696e-133,"amnion","Steap2"
"Hand1",7.27536339879423e-134,3.32584177425923,0.94,0.134,1.86118346467954e-129,"amnion","Hand1"
"Gdf6",5.40317009810014e-132,0.441965995417413,0.28,0.007,1.38223897449598e-127,"amnion","Gdf6"
"Creb3l1",5.52176145830619e-128,1.44157607015208,0.67,0.06,1.41257701626389e-123,"amnion","Creb3l1"
"Ahnak",6.08885746250409e-127,2.61039948573434,0.93,0.142,1.5576515160578e-122,"amnion","Ahnak"
"Colec10",7.77431313609551e-127,0.296267768139521,0.17,0.001,1.98882478647595e-122,"amnion","Colec10"
"Tac2",1.30443054678951e-126,0.732697167868253,0.3,0.009,3.33699422479691e-122,"amnion","Tac2"
"Mab21l2",7.42447715817307e-123,1.38026970757936,0.57,0.043,1.89932974660384e-118,"amnion","Mab21l2"
"Snai2",5.29962622645426e-122,1.56731127347027,0.75,0.083,1.35575038125153e-117,"amnion","Snai2"
"Cobll1",1.24584737798505e-121,1.32359465901445,0.71,0.072,3.18712676236136e-117,"amnion","Cobll1"
"Olfml1",6.12816293929224e-120,0.422826824540326,0.26,0.007,1.56770664312974e-115,"amnion","Olfml1"
"Lims2",1.46029258783681e-119,0.492199064660337,0.29,0.009,3.73572049820414e-115,"amnion","Lims2"
"Smoc2",3.3594002952834e-119,1.84789161571846,0.67,0.066,8.594017835394e-115,"amnion","Smoc2"
"Krt14",1.15875795319245e-113,0.359021422428104,0.22,0.005,2.96433459585692e-109,"amnion","Krt14"
"Col5a2",3.33247967898169e-110,1.47904779924934,0.67,0.072,8.52514951477096e-106,"amnion","Col5a2"
"Cldn2",1.01625968119598e-109,0.440484028116182,0.26,0.008,2.59979551643555e-105,"amnion","Cldn2"
"Popdc2",1.91942432300755e-106,1.43652030192276,0.87,0.118,4.91027130311792e-102,"amnion","Popdc2"
"Scarf2",5.39677567435806e-106,0.814063108800566,0.53,0.042,1.38060315301428e-101,"amnion","Scarf2"
"Rgn",3.28448836229764e-103,0.734752244262541,0.45,0.03,8.40237812842982e-99,"amnion","Rgn"
"Zfp469",3.69415577188554e-101,0.437042153924353,0.2,0.004,9.45038929563758e-97,"amnion","Zfp469"
"Cryab",5.08646016943507e-101,1.56496607468601,0.81,0.11,1.30121824054488e-96,"amnion","Cryab"
"Col3a1",1.05395139762245e-100,1.55453743586066,0.55,0.051,2.69621846539775e-96,"amnion","Col3a1"
"Epas1",7.19294944385317e-99,0.535621658434338,0.29,0.012,1.84010032672652e-94,"amnion","Epas1"
"Ccdc80",2.60352744844099e-95,1.59513365469122,0.84,0.143,6.66034391860174e-91,"amnion","Ccdc80"
"Radil",3.65171223501267e-95,0.749718872560852,0.52,0.046,9.34181023960942e-91,"amnion","Radil"
"Wnt2",4.48274288132057e-93,1.68828170315756,0.79,0.111,1.14677528389943e-88,"amnion","Wnt2"
"Tslrn1",1.92561375872453e-89,0.306755783263112,0.14,0.002,4.92610511756909e-85,"amnion","Tslrn1"
"Prdm6",1.51945820483445e-88,1.35719690728586,0.75,0.114,3.88707797960749e-84,"amnion","Prdm6"
"Krt13",3.99873400605365e-88,0.26933595179833,0.17,0.004,1.02295613342865e-83,"amnion","Krt13"
"Tek",4.22779086882529e-88,0.750106198814198,0.42,0.031,1.08155346006288e-83,"amnion","Tek"
"Jdp2",1.64428224313927e-87,1.55751185931847,0.74,0.117,4.20640283439888e-83,"amnion","Jdp2"
"Tnnt2",8.19221851215971e-85,0.452764766907636,0.84,0.141,2.0957333397807e-80,"amnion","Tnnt2"
"Myrf",1.24513041330819e-84,1.00505975706021,0.7,0.101,3.18529262332502e-80,"amnion","Myrf"
"Dlk1",3.46688668925157e-84,3.83004411464987,0.99,0.335,8.86898952844338e-80,"amnion","Dlk1"
"Pmp22",6.28594479505224e-83,4.21016839634163,1,0.351,1.60807039747026e-78,"amnion","Pmp22"
"Tmem108",5.85927946503757e-82,2.33193156750644,0.95,0.273,1.49892087274591e-77,"amnion","Tmem108"
"Dok4",2.81025231900247e-81,1.77702879606797,0.93,0.208,7.18918748247212e-77,"amnion","Dok4"
"Bmp4",2.97399171408736e-81,2.14050280248869,0.97,0.245,7.60806560297829e-77,"amnion","Bmp4"
"Tbx20",1.21068861956741e-79,0.970853654340484,0.66,0.087,3.09718362657736e-75,"amnion","Tbx20"
"Tagln",4.96109119980682e-79,2.5158881824582,0.95,0.235,1.26914635073458e-74,"amnion","Tagln"
"Pcolce",1.56432985596237e-76,1.49434084580075,0.77,0.145,4.00186863752293e-72,"amnion","Pcolce"
