"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05165","mmu05165","Human papillomavirus infection","58/618","362/9002",6.95607499239336e-10,2.17725147261912e-07,1.54498086673158e-07,"Wnt16/Col6a3/Itga11/Wnt2/Magi1/Notch4/Tcf7l1/Thbs2/Lama2/Pik3r3/Foxo1/Ptger4/Lama3/Tcf7l2/Fzd4/Pik3cd/Fzd5/Maml2/Atp6v0a1/Tcirg1/Wnt10b/H2-T22/Tradd/Ppp2r2a/Pard6a/Casp3/Hes7/Tnxb/Pik3r2/Fzd6/Irf1/Itgb1/Ikbkb/Lamb3/H2-T23/Eif4ebp1/Cdk6/Ppp2cb/H2-Q4/H2-Q7/H2-D1/Wnt7a/H2-K1/Lamc2/Itga10/Oasl1/H2-T24/H2-Q6/Tlr3/Mx1/Ifnb1/Ifna4/Wnt9a/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",58
"mmu05224","mmu05224","Breast cancer","31/618","147/9002",1.29792332312363e-08,1.57868325386709e-06,1.12023597298119e-06,"Wnt16/Fgf23/Fgf22/Wnt2/Fgf7/Notch4/Tcf7l1/Fgf10/Pik3r3/Tcf7l2/Fzd4/Pik3cd/Fzd5/Braf/Lrp6/Nfkb2/Wnt10b/Pik3r2/Fzd6/Fgf21/Jun/Cdk6/Wnt7a/Dll4/Wnt9a/Fgf16/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",31
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","30/618","140/9002",1.51311493980872e-08,1.57868325386709e-06,1.12023597298119e-06,"Wnt16/Id4/Id2/Fgfr2/Smad9/Id3/Id1/Wnt2/Mapk13/Pik3r3/Fgfr3/Fzd4/Pik3cd/Fzd5/Zfhx3/Wnt10b/Pcgf5/Pik3r2/Fzd6/Skil/Jak3/Wnt7a/Lif/Inhbb/Wnt9a/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",30
"mmu05226","mmu05226","Gastric cancer","31/618","150/9002",2.14602806937665e-08,1.67926696428723e-06,1.19161032273282e-06,"Wnt16/Fgf23/Fgf22/Fgfr2/Wnt2/Fgf7/Rxra/Tcf7l1/Fgf10/Pik3r3/Tcf7l2/Fzd4/Pik3cd/Fzd5/Braf/Lrp6/Wnt10b/Pik3r2/Fzd6/Fgf21/Tgfbr2/Wnt7a/Cdh1/Rarb/Wnt9a/Fgf16/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",31
"mmu05217","mmu05217","Basal cell carcinoma","18/618","63/9002",1.25084767127186e-07,7.83030642216187e-06,5.55639702396554e-06,"Wnt16/Bmp2/Wnt2/Tcf7l1/Tcf7l2/Fzd4/Fzd5/Kif7/Ptch1/Wnt10b/Fzd6/Wnt7a/Wnt9a/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",18
"mmu04151","mmu04151","PI3K-Akt signaling pathway","50/618","359/9002",1.00494856396615e-06,5.24248167535673e-05,3.72007275433082e-05,"Fgf23/Fgf22/Fgfr2/Col6a3/Kitl/Itga11/Magi1/Fgf7/Rxra/Prkaa2/Fgf10/Thbs2/Lama2/Pik3r3/Fgfr3/Sgk1/Lama3/Pik3cd/Ghr/Gng13/Gng12/Gng7/Prkca/Insr/Ppp2r2a/Pkn1/Tnxb/Pik3r2/Syk/Itgb1/Ikbkb/Lamb3/Jak3/Fgf21/Eif4ebp1/Cdk6/Ppp2cb/Csf3/Ereg/Lamc2/Itga10/Ngf/Pdgfc/Angpt2/Areg/Ifnb1/Ifna4/Ngfr/Fgf16/Flt3",50
"mmu04310","mmu04310","Wnt signaling pathway","30/618","171/9002",1.52619334891341e-06,6.82426454585567e-05,4.84250821986059e-05,"Wnt16/Wnt2/Lgr4/Tcf7l1/Serpinf1/Tcf7l2/Fzd4/Fzd5/Lrp6/Prkca/Nfatc1/Wnt10b/Nfatc3/Mapk8/Fzd6/Jun/Ccn4/Csnk2a2/Tle4/Camk2b/Wnt7a/Wnt9a/Ccdc88c/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a/Ctnnd2/Dkk2",30
"mmu04390","mmu04390","Hippo signaling pathway","28/618","157/9002",2.43907875733693e-06,9.54289563808074e-05,6.77165286576438e-05,"Wnt16/Bmp2/Id2/Gdf5/Id1/Wnt2/Tcf7l1/Tcf7l2/Fzd4/Fzd5/Smad7/Wnt10b/Ppp2r2a/Itgb2/Pard6a/Fzd6/Ajuba/Ppp2cb/Tgfbr2/Wnt7a/Cdh1/Areg/Wnt9a/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",28
"mmu05225","mmu05225","Hepatocellular carcinoma","29/618","174/9002",6.55367979771392e-06,0.000227922419631606,0.000161734086235981,"Wnt16/Mgst1/Gstm2/Wnt2/Tcf7l1/Gstm1/Pik3r3/Tcf7l2/Fzd4/Pik3cd/Fzd5/Braf/Txnrd2/Mgst3/Lrp6/Prkca/Wnt10b/Pik3r2/Fzd6/Brd7/Cdk6/Tgfbr2/Wnt7a/Wnt9a/Wnt7b/Wnt6/Axin2/Wnt5a/Wnt10a",29
"mmu04144","mmu04144","Endocytosis","39/618","272/9002",8.03387488639588e-06,0.000245722537890443,0.000174365076491957,"Fgfr2/Pip5k1b/Pip5kl1/Epn3/Fgfr3/Bin1/Psd/Iqsec1/Cblb/Rabep1/Hspa1a/Smap2/Chmp6/Grk5/Stambp/Pip5k1c/Rab5b/Eps15l1/H2-T22/Vps4a/Rab11fip1/Kif5c/Pard6a/Arf4/Pml/Epn2/Vps35/Mvb12a/Rab8a/Ist1/H2-T23/H2-Q4/H2-Q7/H2-D1/Tgfbr2/H2-K1/H2-T24/H2-Q6/Arap2",39
