mutation,mother_id,mother_h,litter_size,wean_size
m.5019,Q3.1a,56,10,10
m.5019,Q1.3e,39,9,9
m.5019,Q1.3f,78,7,6
m.5019,Q13.4f,62,9,9
m.5019,Q14.1j,54,9,0
m.5019,Q14.2e,85,4,4
m.5019,Q14.2g,65,6,0
m.5019,Q2.1c,75,9,8
m.5019,Q21.1e,18,6,6
m.5019,Q23.2i,75,2,2
m.5019,Q8.1h,24,7,7
m.5019,Q8.2f,52,5,5
m.5019,Q8.2g,41,10,10
m.5019,Q8.2h,33,11,8
m.5019,Q9.2f,71,10,10
m.5019,Q9.2g,81,3,0
m.5019,Q9.4e,90,2,1
m.5019,M0.1a,73,4,4
m.5019,M0.1c,75,6,5
m.5019,M0.1d,71,5,3
m.5019,M0.1e,69,6,5
m.5019,M10.1b,79,7,7
m.5019,M10.1d,83,8,8
m.5019,M12.1g,82,3,3
m.5019,M3.1c,78,2,0
m.5019,M4.1f,78,3,1
m.5019,M9.3b,75,4,4
m.5019,M9.3c,79,5,5
m.5019,Q2.1c,75,4,4
m.5019,Q1.3d,74,6,0
m.5019,Q7.1h,79,3,0
m.5019,Q8.1g,48,8,8
m.5019,W10.4c,44,5,5
m.5019,W10.4d,36,6,6
m.5019,W12.1f,54,6,6
m.5019,W12.2f,79,7,7
m.5019,W12.2g,52,3,3
m.5019,W5.3c,77,7,7
m.5019,W5.3e,83,5,4
m.5019,W7.1d,47,5,4
m.5019,W8.3h,72,7,7
m.5019,W8.4d,81,8,8
m.5019,Q7.1g,76,7,7
m.5019,Q7.1i,78,7,6
m.5019,B1.3c,81,9,9
m.5019,B1.3d,79,4,4
m.5019,B1.4f,73,6,3
m.5019,B1.4h,75,6,6
m.5019,B6.1d,81,4,4
m.5019,B6.1e,74,6,6
m.5019,B6.1f,77,6,6
m.5019,B6.1g,86,3,3
m.5019,Q3.1a,56,11,10
m.5019,Q1.3e,39,9,8
m.5019,Q1.3f,78,2,0
m.5019,Q13.4f,62,11,9
m.5019,Q14.2e,85,3,3
m.5019,Q21.1e,18,7,0
m.5019,Q23.2i,75,7,7
m.5019,Q8.1h,24,9,6
m.5019,Q9.2f,71,7,7
m.5019,M0.1a,73,2,1
m.5019,M0.1c,75,5,4
m.5019,M0.1d,71,4,4
m.5019,M0.1e,69,7,6
m.5019,M10.1b,79,5,4
m.5019,M10.1d,83,3,3
m.5019,M12.1g,82,3,0
m.5019,Q2.1c,75,4,3
m.5019,Q1.3d,74,1,1
m.5019,Q7.1h,79,3,3
m.5019,Q8.1g,48,4,4
m.5019,W10.4c,44,5,4
m.5019,W10.4d,36,7,7
m.5019,W12.1f,54,4,4
m.5019,W12.2f,79,4,4
m.5019,W12.2g,52,1,0
m.5019,W5.3c,77,5,5
m.5019,W5.3e,83,5,5
m.5019,W7.1d,47,8,6
m.5019,W8.3h,72,10,10
m.5019,Q7.1g,76,3,3
m.5019,Q7.1i,78,3,0
m.5019,B1.3c,81,1,1
m.5019,B1.4f,73,6,0
m.5019,B1.4h,75,6,6
m.5019,B6.1d,81,4,4
m.5019,B6.1e,74,5,0
m.5019,B6.1f,77,6,6
m.5019,B6.1g,86,4,3
m.5019,Q3.1a,56,8,7
m.5019,Q1.3f,78,5,5
m.5019,Q13.4f,62,9,9
m.5019,Q14.2e,85,2,2
m.5019,Q21.1e,18,4,3
m.5019,Q23.2i,75,9,9
m.5019,Q8.1h,24,6,0
m.5019,Q9.2f,71,2,2
m.5019,M0.1a,73,2,2
m.5019,M0.1d,71,1,0
m.5019,M10.1b,79,2,2
m.5019,M10.1d,83,4,4
m.5019,M12.1g,82,4,4
m.5019,Q2.1c,75,5,5
m.5019,Q1.3d,74,5,5
m.5019,Q7.1h,79,4,2
m.5019,Q8.1g,48,9,9
m.5019,W10.4c,44,7,6
m.5019,W10.4d,36,4,4
m.5019,W5.3c,77,9,9
m.5019,W7.1d,47,7,7
m.5019,W8.3h,72,10,10
m.5019,Q7.1g,76,6,6
m.5019,Q7.1i,78,7,0
m.5019,B1.3c,81,3,3
m.5019,B1.4f,73,6,6
m.5019,B1.4h,75,6,6
m.5019,B6.1d,81,2,0
m.5019,B6.1e,74,9,8
m.5019,B6.1f,77,4,4
m.5019,B6.1g,86,3,0
m.5019,Q1.3f,78,8,8
m.5019,Q13.4f,62,7,7
m.5019,Q14.2e,85,2,2
m.5019,Q21.1e,18,3,3
m.5019,Q23.2i,75,5,0
m.5019,Q8.1h,24,11,9
m.5019,Q9.2f,71,9,8
m.5019,M0.1a,73,1,1
m.5019,M10.1d,83,6,6
m.5019,M12.1g,82,4,0
m.5019,Q2.1c,75,1,0
m.5019,Q1.3d,74,8,8
m.5019,Q7.1h,79,1,0
m.5019,W10.4c,44,8,8
m.5019,W10.4d,36,5,4
m.5019,W5.3c,77,4,4
m.5019,W7.1d,47,4,4
m.5019,W8.3h,72,4,0
m.5019,Q7.1g,76,8,8
m.5019,B1.3c,81,8,5
m.5019,B1.4f,73,12,11
m.5019,B6.1e,74,4,4
m.5019,B6.1f,77,2,2
m.5019,B6.1g,86,3,3
m.5019,Q1.3f,78,5,4
m.5019,Q23.2i,75,4,4
m.5019,Q8.1h,24,8,6
m.5019,M10.1d,83,5,5
m.5019,Q1.3d,74,3,3
m.5019,W8.3h,72,6,6
m.5019,Q7.1g,76,3,1
m.5019,B1.4f,73,4,4
m.5019,B6.1f,77,2,0
m.5019,Q8.1h,24,4,0
m.5019,M10.1d,83,2,0
m.5019,W8.3h,72,7,7
m.5019,B1.4f,73,2,0
m.5019,Q8.1h,24,3,3
m.5024,F6.2f,56,3,3
m.5024,F6.2g,42,10,10
m.5024,F7.1b,48,7,7
m.5024,F7.1e,59,4,4
m.5024,P1.1j,72,9,9
m.5024,P11.2h,73,9,9
m.5024,P2.1d,73,4,4
m.5024,P22.1i,30,9,8
m.5024,P24.1e,77,7,7
m.5024,P24.3c,72,8,8
m.5024,P24.3d,72,7,7
m.5024,P25.3e,28,8,8
m.5024,P26.2g,74,8,8
m.5024,P26.3c,74,9,9
m.5024,P29.4c,22,3,3
m.5024,P3.1d,46,5,5
m.5024,P37.2d,65,11,11
m.5024,P8.2f,44,10,10
m.5024,F14.4c,69,6,5
m.5024,F14.4e,65,4,0
m.5024,F14.5g,71,6,6
m.5024,F17.1c,67,10,0
m.5024,F17.5c,73,10,10
m.5024,F18.3b,51,6,6
m.5024,F4.1c,56,5,5
m.5024,F6.4g,68,3,0
m.5024,P1.1i,69,7,7
m.5024,P34.1g,57,4,4
m.5024,P40.1f,61,8,8
m.5024,P5.2k,66,7,7
m.5024,P3.1e,60,8,8
m.5024,R12.2d,60,9,9
m.5024,R12.2e,72,7,7
m.5024,R12.3e,53,8,8
m.5024,R15.1f,53,6,6
m.5024,R15.1g,57,6,6
m.5024,R15.3c,64,4,4
m.5024,R2.1g,88,7,7
m.5024,R2.1h,80,6,6
m.5024,R2.2h,80,6,6
m.5024,R2.2i,63,4,3
m.5024,R2.2j,68,5,5
m.5024,R2.3e,62,8,8
m.5024,R2.3f,62,4,4
m.5024,R2.3h,71,7,7
m.5024,R2.4d,68,5,5
m.5024,R2.4f,70,7,7
m.5024,R2.4g,69,7,7
m.5024,R2.4h,78,7,7
m.5024,R2.4i,64,6,6
m.5024,R30.3g,58,6,6
m.5024,R31.2d,62,4,3
m.5024,R31.2e,66,10,10
m.5024,R31.2f,62,5,4
m.5024,R31.2g,71,6,5
m.5024,R31.2h,70,4,0
m.5024,R31.4f,58,5,5
m.5024,R31.5e,73,8,3
m.5024,R45.3c,36,2,2
m.5024,R45.3d,48,4,0
m.5024,R7.1c,62,9,9
m.5024,R7.1d,67,10,10
m.5024,R7.1e,58,7,7
m.5024,R7.1g,72,1,0
m.5024,F6.2f,56,4,4
m.5024,P1.1j,72,11,11
m.5024,P11.2h,73,9,9
m.5024,P2.1d,73,5,4
m.5024,P22.1i,30,9,9
m.5024,P24.1e,77,5,5
m.5024,P24.3c,72,6,6
m.5024,P24.3d,72,7,7
m.5024,P25.3e,28,4,4
m.5024,P26.2g,74,6,6
m.5024,P26.3c,74,6,6
m.5024,P29.4c,22,4,4
m.5024,P3.1d,46,6,6
m.5024,P37.2d,65,5,2
m.5024,P8.2f,44,10,9
m.5024,F14.4e,65,8,0
m.5024,F14.5g,71,7,7
m.5024,F17.1c,67,2,0
m.5024,F17.5c,73,6,6
m.5024,F18.3b,51,2,0
m.5024,F4.1c,56,7,7
m.5024,F6.4g,68,2,0
m.5024,P1.1i,69,8,8
m.5024,P40.1f,61,8,1
m.5024,P5.2k,66,10,10
m.5024,P3.1e,60,10,9
m.5024,R12.2d,60,2,0
m.5024,R12.2e,72,2,0
m.5024,R12.3e,53,10,10
m.5024,R15.1f,53,9,9
m.5024,R15.1g,57,8,8
m.5024,R15.3c,64,8,8
m.5024,R2.1g,88,5,5
m.5024,R2.1h,80,7,7
m.5024,R2.3h,71,7,7
m.5024,R2.4d,68,10,9
m.5024,R2.4f,70,6,6
m.5024,R2.4h,78,7,7
m.5024,R2.4i,64,6,6
m.5024,R30.3g,58,1,0
m.5024,R31.2d,62,8,8
m.5024,R31.2e,66,10,10
m.5024,R31.2f,62,9,9
m.5024,R31.2g,71,7,7
m.5024,R31.4f,58,12,12
m.5024,R7.1c,62,9,9
m.5024,R7.1d,67,9,9
m.5024,R7.1e,58,7,7
m.5024,P1.1j,72,10,10
m.5024,P11.2h,73,7,7
m.5024,P2.1d,73,5,5
m.5024,P22.1i,30,8,8
m.5024,P24.3c,72,9,9
m.5024,P24.3d,72,8,8
m.5024,P25.3e,28,2,2
m.5024,P26.3c,74,4,4
m.5024,P29.4c,22,6,5
m.5024,P8.2f,44,10,10
m.5024,F14.5g,71,4,4
m.5024,F17.1c,67,4,4
m.5024,F17.5c,73,4,0
m.5024,F18.3b,51,8,8
m.5024,F4.1c,56,4,4
m.5024,P40.1f,61,4,4
m.5024,P5.2k,66,9,9
m.5024,P3.1e,60,8,8
m.5024,R12.2d,60,9,9
m.5024,R12.2e,72,8,8
m.5024,R12.3e,53,10,10
m.5024,R15.1f,53,11,11
m.5024,R15.3c,64,3,0
m.5024,R2.3h,71,6,6
m.5024,R2.4d,68,5,5
m.5024,R2.4f,70,6,5
m.5024,R2.4h,78,5,5
m.5024,R2.4i,64,3,3
m.5024,R30.3g,58,4,4
m.5024,R31.2d,62,4,4
m.5024,R31.2f,62,9,4
m.5024,R31.2g,71,9,9
m.5024,R31.4f,58,3,0
m.5024,P1.1j,72,8,8
m.5024,P11.2h,73,10,10
m.5024,P24.3c,72,4,4
m.5024,P24.3d,72,7,7
m.5024,P25.3e,28,5,5
m.5024,P26.3c,74,8,8
m.5024,P29.4c,22,5,4
m.5024,F14.5g,71,5,5
m.5024,F17.1c,67,2,2
m.5024,F17.5c,73,8,8
m.5024,F4.1c,56,8,7
m.5024,P5.2k,66,8,8
m.5024,P3.1e,60,9,9
m.5024,R12.2d,60,9,9
m.5024,R12.2e,72,7,7
m.5024,R15.1f,53,9,9
m.5024,R15.3c,64,6,6
m.5024,R2.4d,68,9,9
m.5024,R2.4f,70,4,4
m.5024,R2.4i,64,7,7
m.5024,R31.2d,62,6,6
m.5024,R31.2f,62,10,10
m.5024,R31.2g,71,8,7
m.5024,R31.4f,58,7,7
m.5024,P1.1j,72,8,8
m.5024,P24.3c,72,7,5
m.5024,P25.3e,28,4,3
m.5024,P26.3c,74,4,4
m.5024,F14.5g,71,3,3
m.5024,P5.2k,66,10,10
m.5024,P3.1e,60,12,11
m.5024,R12.2d,60,8,8
m.5024,R12.2e,72,6,6
m.5024,R15.1f,53,6,6
m.5024,R15.3c,64,10,10
m.5024,R2.4d,68,5,5
m.5024,R2.4f,70,10,10
m.5024,R31.4f,58,7,7
m.5024,P24.3c,72,2,0
m.5024,P26.3c,74,3,2
m.5024,R12.2d,60,7,6
m.5024,R12.2e,72,3,3
m.5024,R31.4f,58,7,7
m.5024,R12.2d,60,8,6
m.5024,R31.4f,58,9,9
m.5024,R31.4f,58,5,5
