"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05012","mmu05012","Parkinson disease","39/328","264/9006",4.03266164824443e-14,1.04445936689531e-11,9.42369353589752e-12,"Uba52/Ndufa3/Calm2/Cox7c/Atf4/Slc39a1/Atp5e/Sod1/Ndufb4/Ubb/Tubb4b/Tuba1c/ATP8/Ndufv2/Ndufab1/Sdhd/Psmc4/Ndufs4/Psmb4/Psmb1/Psma3/Slc25a5/Ndufa8/Ndufb5/Psmc2/Tuba1a/ND2/Slc25a4/Calm1/Ndufb8/Psmb5/Atp5pb/Ndufa4/Txn1/ATP6/Park7/Atp5j/Psmd8/Cox5a",39
"mmu03010","mmu03010","Ribosome","31/328","179/9006",2.55743410807668e-13,3.3118771699593e-11,2.98815985259486e-11,"Uba52/Rpl38/Rps27/Rps28/Rpl39/Rps21/Rpl37/Rpl35/Rpl27a/Rpl37a/Rpl6/Rpl36/Rpl27/Rps27rt/Mrps5/Rpl36al/Rps29/Mrps10/Rpl29/Rps23/Mrpl12/Rps18/Rps3/Mrps18c/Mrpl18/Rps13/Rpl24/Rpl17/Rps2/Rpl5/Mrpl20",31
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","44/328","369/9006",1.93962194451982e-12,1.67454027876878e-10,1.51086340941544e-10,"Ndufa3/Actb/Alyref/Vcp/Dctn4/Matr3/Cox7c/Tardbp/Fus/Atf4/Atp5e/Sod1/Ubqln2/Ndufb4/Hnrnpa3/Nup93/Ppp3cb/Rab1a/Tubb4b/Srsf7/Tuba1c/ATP8/Ndufv2/Ndufab1/Sdhd/Psmc4/Ndufs4/Psmb4/Psmb1/Psma3/Ndufa8/Ndufb5/Psmc2/Tuba1a/ND2/Dctn6/Ndufb8/Psmb5/Atp5pb/Ndufa4/ATP6/Atp5j/Psmd8/Cox5a",44
"mmu05020","mmu05020","Prion disease","36/328","268/9006",7.44559149375104e-12,4.8210204922038e-10,4.34979292529666e-10,"Egr1/Ndufa3/Gsk3b/Cox7c/Atf4/Atp5e/Sod1/Ndufb4/Ppp3cb/Tubb4b/Tuba1c/ATP8/Ndufv2/Ndufab1/Sdhd/Psmc4/Ndufs4/Psmb4/Psmb1/Psma3/Slc25a5/Ndufa8/Ndufb5/Psmc2/Tuba1a/ND2/Slc25a4/Ndufb8/Psmb5/Atp5pb/Ndufa4/ATP6/Atp5j/Cyba/Psmd8/Cox5a",36
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","48/328","471/9006",5.39860086747676e-11,2.55685554181363e-09,2.30693733095967e-09,"Uba52/Ndufa3/Gsk3b/Vcp/Dctn4/Calm2/Cox7c/Fzd3/Tardbp/Ctnnb1/Fus/Axin2/Atf4/Atp5e/Sod1/Ndufb4/Ubb/Ppp3cb/Rab1a/Tubb4b/Tuba1c/ATP8/Ndufv2/Ndufab1/Sdhd/Psmc4/Ndufs4/Psmb4/Psmb1/Psma3/Slc25a5/Ndufa8/Ndufb5/Psmc2/Tuba1a/ND2/Dctn6/Slc25a4/Calm1/Ndufb8/Psmb5/Atp5pb/Ndufa4/ATP6/Park7/Atp5j/Psmd8/Cox5a",48
"mmu05016","mmu05016","Huntington disease","37/328","302/9006",5.92321747138293e-11,2.55685554181363e-09,2.30693733095967e-09,"Ndufa3/Dctn4/Ap2a2/Cox7c/Ap2b1/Atp5e/Sod1/Ndufb4/Hdac2/Sod2/Tubb4b/Tuba1c/ATP8/Ndufv2/Ndufab1/Sdhd/Psmc4/Ndufs4/Psmb4/Psmb1/Psma3/Slc25a5/Ndufa8/Ndufb5/Psmc2/Tuba1a/ND2/Dctn6/Slc25a4/Ndufb8/Psmb5/Atp5pb/Ndufa4/ATP6/Atp5j/Psmd8/Cox5a",37
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","30/328","222/9006",3.9967646113009e-10,1.47880290618133e-08,1.33425826121624e-08,"Fos/Jun/Ndufa3/Hif1a/Cox7c/Atp5e/Sod1/Ndufb4/Sod2/Mgst3/Mgst1/ATP8/Ndufv2/Ndufab1/Sdhd/Ndufs4/Slc25a5/Ndufa8/Ndufb5/Acp1/ND2/Slc25a4/Ndufb8/Atp5pb/Gsta4/Ndufa4/ATP6/Atp5j/Cyba/Cox5a",30
"mmu00190","mmu00190","Oxidative phosphorylation","23/328","135/9006",4.88907350040325e-10,1.58283754575555e-08,1.42812410143358e-08,"Atp5k/Atp5l/Ndufa3/Cox17/Cox7c/Atp5e/Ndufb4/ATP8/Ndufv2/Ndufab1/Sdhd/Ndufs4/Ppa2/Ndufa8/Ndufb5/ND2/Ppa1/Ndufb8/Atp5pb/Ndufa4/ATP6/Atp5j/Cox5a",23
"mmu05010","mmu05010","Alzheimer disease","39/328","383/9006",4.27532523808081e-09,1.23034359629214e-07,1.11008444778239e-07,"Ndufa3/Gsk3b/Calm2/Cox7c/Fzd3/Ctnnb1/Axin2/Atf4/Slc39a1/Atp5e/Ndufb4/Ppp3cb/Tubb4b/Tuba1c/ATP8/Ndufv2/Ndufab1/Sdhd/Psmc4/Ndufs4/Psmb4/Psmb1/Psma3/Slc25a5/Ndufa8/Ndufb5/Psmc2/Tuba1a/ND2/Slc25a4/Calm1/Ndufb8/Psmb5/Atp5pb/Ndufa4/ATP6/Atp5j/Psmd8/Cox5a",39
"mmu04714","mmu04714","Thermogenesis","26/328","231/9006",2.72472541410949e-07,7.05703882254357e-06,6.36725307297164e-06,"Atp5k/Atp5l/Ndufa3/Smarcd1/Actb/Cox17/Cox7c/Atp5e/Arid1a/Ndufb4/Fgfr1/Smarca4/ATP8/Ndufv2/Ndufab1/Sdhd/Ndufs4/Ndufa8/Ndufb5/ND2/Ndufb8/Atp5pb/Ndufa4/ATP6/Atp5j/Cox5a",26
