Clone,Heteroplasmy_bin,siRNA,well,Date Time,Elapsed,"A1, Image 1","A1, Image 2","A1, Image 3","A1, Image 4","A1, Image 6","A1, Image 7","A1, Image 8","A1, Image 9",Mean Confluency,SEM
17,low_het,Mock,A1,12/09/2022 18:00,0,2.492829,1.909692,2.628728,1.943291,2.782247,3.311161,2.170427,2.948331,2.52333825,0.175148812
17,low_het,Mock,A1,12/09/2022 21:00,3,3.398164,2.51079,3.408612,2.721058,3.304946,4.326784,2.967247,3.797258,3.304357375,0.20665737
17,low_het,Mock,A1,13/09/2022 00:00,6,3.745219,3.758878,4.458861,2.996202,3.878933,4.954722,3.28166,4.801956,3.984553875,0.247292678
17,low_het,Mock,A1,13/09/2022 03:00,9,5.354772,4.152576,6.173513,3.630628,4.772318,5.695613,4.751146,6.090131,5.077587125,0.322771906
17,low_het,Mock,A1,13/09/2022 06:00,12,6.794075,5.622746,7.830257,5.119578,6.754329,8.096319,6.540511,8.444464,6.900284875,0.41500599
17,low_het,Mock,A1,13/09/2022 09:00,15,7.349895,6.513058,8.757988,5.631557,9.017905,10.21491,8.51467,9.857952,8.232241875,0.567655556
17,low_het,Mock,A1,13/09/2022 12:00,18,7.904078,7.527658,9.547982,6.96644,9.443224,11.15651,9.215541,11.13828,9.112464125,0.553704783
17,low_het,Mock,A1,13/09/2022 15:00,21,10.85951,10.73604,13.03902,9.513358,12.51072,14.13379,12.17685,14.21622,12.1481885,0.59375299
17,low_het,Mock,A1,13/09/2022 18:00,24,12.39271,12.23162,17.5704,9.970838,13.46358,15.95471,13.3815,16.3525,13.91473225,0.893025785
17,low_het,Mock,A1,13/09/2022 21:00,27,15.27419,15.33257,20.01564,12.45377,18.34381,20.94747,15.79456,21.03987,17.400235,1.113244216
17,low_het,Mock,A1,14/09/2022 00:00,30,17.78518,17.11108,23.79856,14.65554,18.9994,23.05254,19.60617,24.06926,19.88471625,1.218682355
17,low_het,Mock,A1,14/09/2022 03:00,33,21.57411,22.04927,30.20739,17.73424,25.1527,26.2513,23.86008,27.18197,24.2513825,1.359607107
17,low_het,Mock,A1,14/09/2022 06:00,36,24.28063,25.59686,34.74786,22.73014,31.99253,34.74062,30.41329,34.41208,29.86425125,1.759795872
17,low_het,Mock,A1,14/09/2022 09:00,39,28.70609,28.87654,41.98119,24.08456,33.829,38.5661,34.69787,38.27592,33.62715875,2.133188465
17,low_het,Mock,A1,14/09/2022 12:00,42,36.38242,36.76704,49.85065,30.9769,43.8129,48.30632,41.2095,46.6945,41.75002875,2.342549467
17,low_het,Mock,A1,14/09/2022 15:00,45,44.81301,43.10772,62.26657,35.36433,51.31597,55.80426,48.2751,55.45182,49.5498475,3.004691864
17,low_het,Mock,A1,14/09/2022 18:00,48,54.13297,54.42159,74.04911,46.45289,64.97083,63.05767,56.27595,67.01842,60.04742875,3.115656457
17,low_het,Mock,A1,14/09/2022 21:00,51,62.44216,60.90083,83.04749,53.70165,74.35533,75.96167,70.51408,77.55266,69.80948375,3.503355628
17,low_het,Mock,A1,15/09/2022 00:00,54,73.05943,72.2228,91.32956,59.86075,81.93208,84.40948,78.17908,86.94779,78.49262125,3.533490608
17,low_het,Mock,A1,15/09/2022 03:00,57,83.56384,83.62386,95.9026,73.52798,93.93452,92.17152,88.128,96.25259,88.38811375,2.771852271
17,low_het,Mock,A1,15/09/2022 06:00,60,91.39423,89.69214,98.31956,83.54977,97.02756,96.87034,96.00858,98.91629,93.97230875,1.884223687
17,low_het,Mock,A1,15/09/2022 09:00,63,96.27184,94.50516,99.5363,92.24848,99.47702,99.33771,99.26867,99.78229,97.55343375,1.015965495
17,low_het,Mock,A1,15/09/2022 12:00,66,98.77499,96.8065,99.97656,96.85684,99.83554,99.86383,99.92521,99.8475,98.98587125,0.489640505
17,low_het,Mock,A1,15/09/2022 15:00,69,99.92658,99.28205,99.9401,99.19634,99.98981,99.95036,100,99.99139,99.78457875,0.119649166
33,low_het,Mock,A2,12/09/2022 18:00,0,6.048542,3.882622,3.083752,6.223843,5.615098,8.53174,5.526387,6.296232,5.651027,0.581499239
33,low_het,Mock,A2,12/09/2022 21:00,3,7.268289,4.854814,4.139805,7.019229,7.117705,9.747116,5.222561,7.188455,6.56974675,0.628621646
33,low_het,Mock,A2,13/09/2022 00:00,6,7.505737,5.869209,4.566897,8.179428,7.435874,11.522,6.619385,9.307254,7.625723,0.753800177
33,low_het,Mock,A2,13/09/2022 03:00,9,8.929945,6.996215,5.178513,8.81993,8.839049,12.86297,7.329135,11.09389,8.756205875,0.848374214
33,low_het,Mock,A2,13/09/2022 06:00,12,9.288611,7.855047,5.622269,9.521484,9.500107,14.27673,7.823154,11.76143,9.456104,0.930777591
33,low_het,Mock,A2,13/09/2022 09:00,15,10.0321,8.676518,6.852669,12.14939,11.67054,16.04157,9.216632,13.99933,11.07984363,1.059390699
33,low_het,Mock,A2,13/09/2022 12:00,18,13.41728,10.5395,7.889736,15.66045,14.95206,21.26727,12.71935,18.43142,14.35963325,1.502197995
33,low_het,Mock,A2,13/09/2022 15:00,21,15.93019,10.88007,8.392635,17.26979,16.99772,23.75703,14.75367,20.4092,16.04878813,1.731252777
33,low_het,Mock,A2,13/09/2022 18:00,24,19.14889,15.60089,10.5341,21.51674,21.76184,30.90704,17.76558,25.11657,20.29395625,2.173413054
33,low_het,Mock,A2,13/09/2022 21:00,27,22.86235,16.37661,12.98924,25.80891,24.55303,33.75259,21.10884,29.71988,23.39643125,2.381099833
33,low_het,Mock,A2,14/09/2022 00:00,30,31.56175,23.26826,16.25021,32.0402,31.09758,41.44893,24.59606,33.50723,29.2212775,2.705514103
33,low_het,Mock,A2,14/09/2022 03:00,33,35.36311,26.84045,20.38953,39.1351,36.96945,50.91442,32.55122,44.15516,35.789805,3.378624061
33,low_het,Mock,A2,14/09/2022 06:00,36,40.02881,29.59968,22.68281,44.49976,41.37819,57.75171,38.29238,49.2352,40.4335675,3.854552156
33,low_het,Mock,A2,14/09/2022 09:00,39,49.46787,36.93148,28.76332,52.91916,49.31592,69.42335,46.40481,61.61645,49.355295,4.537274367
33,low_het,Mock,A2,14/09/2022 12:00,42,59.16808,46.80138,34.65152,61.49544,58.5863,75.6013,54.68607,68.44862,57.42983875,4.455830351
33,low_het,Mock,A2,14/09/2022 15:00,45,69.16602,56.06773,38.67051,72.12556,69.36045,86.04355,67.42625,80.10831,67.3710475,5.161973131
33,low_het,Mock,A2,14/09/2022 18:00,48,76.03371,62.14762,44.97964,80.63107,77.41586,93.29224,77.6374,89.28376,75.1776625,5.428685026
33,low_het,Mock,A2,14/09/2022 21:00,51,83.76556,75.70708,54.65997,88.16542,85.52133,98.01983,86.74286,95.14546,83.46593875,4.772219525
33,low_het,Mock,A2,15/09/2022 00:00,54,93.68075,86.07142,63.24361,95.43732,95.11343,99.50481,94.6552,98.91792,90.8280575,4.197477656
33,low_het,Mock,A2,15/09/2022 03:00,57,97.77377,91.96759,71.99683,98.83904,98.16119,99.72212,98.00732,99.69939,94.52090625,3.333694062
33,low_het,Mock,A2,15/09/2022 06:00,60,99.74526,98.3156,85.92828,99.72704,99.80161,99.6442,99.78433,99.99515,97.86768375,1.715622624
